"","X","Y","area_km2","geometry"
"323",388.981003747615,7056.53454145762,41.6615321828074,c(388981.003747615, 7056534.54145762)
"324",404.035485289122,7065.46561508071,298.404458330063,c(404035.485289122, 7065465.61508071)
"325",414.444194462415,7065.66474770767,15.382507375391,c(414444.194462415, 7065664.74770768)
"360",354.050976303731,7023.20591751438,7.5341853550725,c(354050.976303731, 7023205.91751438)
"361",367.772448864649,7031.44980171093,213.234903706235,c(367772.448864649, 7031449.80171093)
"362",386.10958714996,7041.29629124157,462.632025897631,c(386109.58714996, 7041296.29124157)
"363",406.99752438638,7047.34447223015,493.906176,c(406997.52438638, 7047344.47223016)
"364",420.138977646744,7049.08759722213,84.5510292355537,c(420138.977646744, 7049087.59722213)
"398",332.3456498843,6997.79202664151,123.147914914037,c(332345.6498843, 6997792.02664151)
"399",349.507532080382,7007.83118441525,406.050715187794,c(349507.532080382, 7007831.18441525)
"400",369.513914001143,7014.72480181994,493.906176,c(369513.914001143, 7014724.80181994)
"401",391.066870698203,7020.30596228851,493.906176,c(391066.870698203, 7020305.96228851)
"402",412.616389681823,7025.89243142162,493.906176,c(412616.389681823, 7025892.43142162)
"403",426.631687489501,7029.21920192729,144.605515527028,c(426631.687489501, 7029219.20192729)
"435",297.463154042256,6964.50109434938,53.4234822467518,c(297463.154042256, 6964501.09434938)
"436",312.902580953589,6973.78797131298,324.932248189713,c(312902.580953589, 6973787.97131298)
"437",332.031303956541,6982.11031490279,493.021630798705,c(332031.303956541, 6982110.31490279)
"438",353.570925792488,6987.69732806864,493.906176,c(353570.925792488, 6987697.32806864)
"439",375.130201262984,6993.27512073663,493.906176,c(375130.201262984, 6993275.12073663)
"440",396.686093890528,6998.85780561152,493.906176,c(396686.093890527, 6998857.80561152)
"441",418.238788106601,7004.44557533734,493.906176,c(418238.788106601, 7004445.57533734)
"442",431.818525236632,7008.61030337188,134.380257617941,c(431818.525236632, 7008610.30337188)
"472",262.359747657526,6931.20919262763,13.990329440784,c(262359.747657526, 6931209.19262763)
"473",276.430436467656,6939.50754771996,232.794744177902,c(276430.436467656, 6939507.54771996)
"474",294.994188249566,6949.19098168907,470.500867058517,c(294994.188249566, 6949190.98168907)
"475",316.054847721942,6955.10493551198,493.906176,c(316054.847721942, 6955104.93551198)
"476",337.623426798536,6960.67572231032,493.906176,c(337623.426798536, 6960675.72231032)
"477",359.188494472706,6966.25077841021,493.906176,c(359188.494472706, 6966250.77841021)
"478",380.750231375659,6971.83030310892,493.906176,c(380750.231375659, 6971830.30310892)
"479",402.308819978138,6977.41449325407,493.906176,c(402308.819978138, 6977414.49325407)
"480",423.864444647167,6983.00354330747,493.906176,c(423864.444647167, 6983003.54330747)
"481",435.677093247778,6988.55554601367,66.0551623845549,c(435677.093247778, 6988555.54601367)
"510",242.674050689464,6907.05604997457,104.665603971089,c(242674.050689464, 6907056.04997457)
"511",258.274705524884,6915.90175860123,421.975429133511,c(258274.705524884, 6915901.75860123)
"512",278.521085709167,6922.52420188385,493.906176,c(278521.085709167, 6922524.20188385)
"513",300.09853413126,6928.08969473172,493.906176,c(300098.53413126, 6928089.69473172)
"514",321.672344378331,6933.65881652427,493.906176,c(321672.344378331, 6933658.81652427)
